NAME,SHARES,PERCENTAGE
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"664,033,228",15.63
DBS NOMINEES PRIVATE LIMITED,"482,704,359",11.36
SELAT PRIVATE LIMITED,"471,128,485",11.09
DBSN SERVICES PRIVATE LIMITED,"290,833,202",6.85
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"217,069,805",5.11
LEE FOUNDATION,"185,271,014",4.36
SINGAPORE INVESTMENTS PRIVATE LIMITED,"157,007,526",3.7
LEE RUBBER COMPANY PRIVATE LIMITED,"132,408,980",3.12
LEE LATEX PRIVATE LIMITED,"59,940,381",1.41
RAFFLES NOMINEES PRIVATE LIMITED,"59,465,423",1.4
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"52,362,555",1.23
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"45,067,976",1.06
KALLANG DEVELOPMENT PRIVATE LIMITED,"41,134,898",0.97
LEE PINEAPPLE COMPANY PRIVATE LIMITED,"28,598,662",0.67
KEW ESTATE LIMITED,"26,123,907",0.61
DB NOMINEES SINGAPORE PRIVATE LIMITED,"23,422,554",0.55
TROPICAL PRODUCE COMPANY PRIVATE LIMITED,"20,441,980",0.48
KOTA TRADING SINGAPORE PRIVATE LIMITED,"20,340,492",0.48
ISLAND INVESTMENT COMPANY PRIVATE LIMITED,"18,200,411",0.43
LEE PLANTATIONS PRIVATE LIMITED,"15,923,990",0.37
