NAME,SHARES,PERCENTAGE
GENTING OVERSEAS HOLDINGS LIMITED,"6,353,685,269",52.69
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"1,153,904,151",9.57
DBS NOMINEES PRIVATE LIMITED,"766,024,555",6.35
DBSN SERVICES PRIVATE LIMITED,"441,310,481",3.66
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"269,865,011",2.24
RAFFLES NOMINEES PRIVATE LIMITED,"230,784,086",1.91
PHILLIP SECURITIES PRIVATE LIMITED,"208,813,657",1.73
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"181,340,360",1.5
OCBC SECURITIES PRIVATE LIMITED,"115,419,269",0.96
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"85,338,464",0.71
UOB KAY HIAN PRIVATE LIMITED,"81,578,773",0.68
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"50,423,137",0.42
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"42,120,643",0.35
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"35,975,447",0.3
DB NOMINEES SINGAPORE PRIVATE LIMITED,"33,300,363",0.28
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"32,464,890",0.27
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"22,069,906",0.18
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"21,248,188",0.18
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"19,596,631",0.16
TAN HEE TECK,"15,750,000",0.13
