NAME,SHARES,PERCENTAGE
SINGAPORE INVESTMENTS PRIVATE LIMITED,"34,633,008",13.38
SELAT PRIVATE LIMITED,"29,478,664",11.39
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"27,718,489",10.71
LEE RUBBER COMPANY PRIVATE LIMITED,"21,955,968",8.48
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"15,275,060",5.9
KALLANG DEVELOPMENT PRIVATE LIMITED,"11,875,192",4.59
DBS NOMINEES PRIVATE LIMITED,"8,163,375",3.15
GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED,"6,171,184",2.38
LEE LATEX PRIVATE LIMITED,"5,271,400",2.04
RAFFLES NOMINEES PRIVATE LIMITED,"4,695,678",1.81
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"3,390,700",1.31
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"3,082,246",1.19
LEE FOUNDATION,"2,963,130",1.14
ISLAND INVESTMENT COMPANY PRIVATE LIMITED,"2,829,600",1.09
LEE FOUNDATION STATES OF MALAYA,"2,711,300",1.05
OVERSEA-CHINESE BANK NOMINEES PRIVATE LIMITED,"1,916,076",0.74
YEO REALTY & INVESTMENTS PRIVATE LIMITED,"1,603,000",0.62
LEE PLANTATIONS PRIVATE LIMITED,"1,533,600",0.59
TAN PROPRIETARY PRIVATE LIMITED,"1,200,000",0.46
OCBC SECURITIES PRIVATE LIMITED,"1,170,957",0.45
