NAME,SHARES,PERCENTAGE
DBS NOMINEES PRIVATE LIMITED,"759,092,203",20.36
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"210,135,282",5.64
RAFFLES NOMINEES PRIVATE LIMITED,"200,025,788",5.37
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"167,041,836",4.48
PAVILION CAPITAL FUND HOLDINGS PRIVATE LIMITED,"151,569,400",4.07
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"106,322,598",2.85
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"60,207,901",1.62
OCBC SECURITIES PRIVATE LIMITED,"59,880,156",1.61
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"50,852,090",1.36
RSM CORPORATE ADVISORY PRIVATE LIMITED,"47,000,000",1.26
UOB KAY HIAN PRIVATE LIMITED,"38,298,260",1.03
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"33,584,813",0.9
PHILLIP SECURITIES PRIVATE LIMITED,"31,140,726",0.84
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"27,377,191",0.73
CHEW THIAM KENG,"25,309,440",0.68
EVIA GROWTH OPPORTUNITIES II LIMITED (IN MEMBERS' VOLUNTARY LIQUIDATION),"24,664,836",0.66
LIM OON HOCK,"23,000,000",0.62
ROTATING OFFSHORE SOLUTIONS PRIVATE LIMITED,"22,747,156",0.61
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"22,550,336",0.6
EDB INVESTMENTS PRIVATE LIMITED,"20,548,253",0.55
