NAME,SHARES,PERCENTAGE
BNY MELLON,"73,371,016",12.05
ZEEV BRONFELD,"72,732,416",11.95
AMOS AND DAUGHTER INVESTMENTS AND PROPERTIES LIMITED,"39,182,452",6.44
B BRAUN MELSUNGEN AG,"25,744,000",4.23
EMERALD INVESTMENT MGT,"23,094,900",3.79
RAFFLES NOMINEES PRIVATE LIMITED,"22,865,366",3.75
ASDEW ACQUISITIONS,"20,000,000",3.29
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"19,035,991",3.13
PRIMEPARTNERS ASSET MGT,"15,500,000",2.55
LACHMAN FAMILY LIMITED PARTNERSHIP,"14,704,745",2.42
DAVID TODD DOLLINGER,"13,367,040",2.2
STEPHEN LOUIS RHODES,"13,367,040",2.2
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"11,238,420",1.85
DBS NOMINEES PRIVATE LIMITED,"9,266,013",1.52
PHILLIP SECURITIES PRIVATE LIMITED,"8,698,600",1.43
UOB KAY HIAN PRIVATE LIMITED,"8,624,651",1.42
TOMMIE GOH THIAM POH,"6,993,000",1.15
REGIONAL RESEARCH & DEVELOPMENT - IN EASTERN JUDEA & SAMARIA & JORDAN VALLEY,"6,787,184",1.11
CHONG GEORGE,"6,051,500",0.99
ALTSHULER SHAHAM TRUSTS LIMITED FBO DAVID TODD DOLLINGER,"5,838,384",0.96
