NAME,SHARES,PERCENTAGE
TEMASEK HOLDINGS PRIVATE LIMITED,"765,764,221",29.93
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"506,992,498",19.82
DBS NOMINEES PRIVATE LIMITED,"460,879,705",18.02
DBSN SERVICES PRIVATE LIMITED,"310,853,569",12.15
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"149,069,623",5.83
RAFFLES NOMINEES PRIVATE LIMITED,"43,871,205",1.71
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"28,427,654",1.11
LEE FOUNDATION,"11,191,714",0.44
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"8,567,336",0.33
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"6,610,128",0.26
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"6,099,589",0.24
DB NOMINEES SINGAPORE PRIVATE LIMITED,"5,286,936",0.21
OCBC SECURITIES PRIVATE LIMITED,"4,281,817",0.17
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"3,846,531",0.15
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"3,275,137",0.13
PHILLIP SECURITIES PRIVATE LIMITED,"3,110,492",0.12
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"2,700,641",0.11
UOB KAY HIAN PRIVATE LIMITED,"2,607,912",0.1
SOCIETE GENERALE SINGAPORE BRANCH,"2,504,235",0.1
