NAME,SHARES,PERCENTAGE
WEE INVESTMENTS PRIVATE LIMITED,"60,907,926",27.58
DBSN SERVICES PRIVATE LIMITED,"26,632,608",12.06
DBS NOMINEES PRIVATE LIMITED,"21,963,961",9.95
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"20,775,178",9.41
TYE HUA NOMINEES PRIVATE LIMITED,"17,435,534",7.9
UOB KAY HIAN PRIVATE LIMITED,"15,359,937",6.96
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"5,546,892",2.51
UNITED OVERSEAS INSURANCE LIMITED,"4,274,600",1.94
WAH HIN & C PRIVATE LIMITED,"3,652,655",1.65
RAFFLES NOMINEES PRIVATE LIMITED,"3,474,722",1.57
C Y WEE & COMPANY PRIVATE LIMITED,"1,643,148",0.74
SG INVESTMENTS PRIVATE LIMITED,"1,617,000",0.73
DB NOMINEES SINGAPORE PRIVATE LIMITED,"1,286,138",0.58
WEE CHO YAW,"1,092,373",0.49
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"775,356",0.35
SINGAPORE REINSURANCE CORPORATION LIMITED,"700,000",0.32
HO HAN LEONG CALVIN,"550,440",0.25
CHUA WEE KENG,"444,640",0.2
WEE EE LIM,"437,192",0.2
HSK INVESTMENTS PRIVATE LIMITED,"365,303",0.17
