NAME,SHARES,PERCENTAGE
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"955,817,031",35.66
DBS NOMINEES PRIVATE LIMITED,"500,631,342",18.68
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"240,706,130",8.98
RAFFLES NOMINEES PRIVATE LIMITED,"164,823,319",6.15
DBSN SERVICES PRIVATE LIMITED,"160,071,424",5.97
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"149,195,161",5.57
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"88,817,040",3.31
WTP INVESTMENT (OVERSEAS) LIMITED,"33,523,485",1.25
STRAITS REAL ESTATE PRIVATE LIMITED,"26,312,000",0.98
WII PRIVATE LIMITED,"16,656,900",0.62
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"15,107,088",0.56
DB NOMINEES SINGAPORE PRIVATE LIMITED,"14,959,028",0.56
PCK CORPORATION,"13,649,414",0.51
SWORD INVESTMENTS PRIVATE LIMITED,"11,914,000",0.44
TECITY MANAGEMENT PRIVATE LIMITED,"6,684,000",0.25
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"5,249,443",0.2
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"4,820,200",0.18
NTUC FAIRPRICE CO-OPERATIVE LIMITED,"4,000,000",0.15
PHILLIP SECURITIES PRIVATE LIMITED,"3,560,875",0.13
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"3,474,775",0.13
