NAME,SHARES,PERCENTAGE
KEPPEL DC INVESTMENT HOLDINGS PTE LTD ,"338,580,976",25.04
DBS NOMINEES (PRIVATE) LIMITED ,"238,587,508",17.65
CITIBANK NOMINEES SINGAPORE PTE LTD ,"227,263,039",16.81
RAFFLES NOMINEES (PTE.) LIMITED ,"100,241,006",7.41
DBSN SERVICES PTE. LTD. ,"97,808,741",7.23
HSBC (SINGAPORE) NOMINEES PTE LTD ,"96,699,755",7.15
BPSS NOMINEES SINGAPORE (PTE.) LTD. ,"31,501,138",2.33
DB NOMINEES (SINGAPORE) PTE LTD ,"21,261,770",1.57
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,"8,316,471",0.62
BNP PARIBAS NOMINEES SINGAPORE PTE. LTD. ,"7,722,972",0.57
PHILLIP SECURITIES PTE LTD,"6,350,675",0.47
UOB KAY HIAN PRIVATE LIMITED ,"5,550,280",0.41
OCBC SECURITIES PRIVATE LIMITED ,"4,399,451",0.33
MERRILL LYNCH (SINGAPORE) PTE. LTD.,"4,016,749",0.3
NTUC FAIRPRICE CO-OPERATIVE LTD ,"3,822,000",0.28
CGS-CIMB SECURITIES (SINGAPORE) PTE. LTD. ,"3,764,367",0.28
OCBC NOMINEES SINGAPORE PRIVATE LIMITED ,"3,566,673",0.26
KEPPEL DC REIT MANAGEMENT PTE LTD ,"2,468,047",0.18
ABN AMRO CLEARING BANK N.V. ,"2,425,110",0.18
MAYBANK KIM ENG SECURITIES PTE. LTD. ,"2,248,633",0.17
