NAME,SHARES,PERCENTAGE
DBS NOMINEES PRIVATE LIMITED,"33,940,243",17.8
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"16,695,661",8.76
GOI SENG HUI,"15,301,600",8.03
KOH BOON HWEE,"12,998,343",6.82
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"10,219,741",5.36
ABN AMRO CLEARING BANK NV,"4,353,500",2.28
PHILLIP SECURITIES PRIVATE LIMITED,"4,231,083",2.22
RAFFLES NOMINEES PRIVATE LIMITED,"4,137,174",2.17
KHOO BOO HOR,"3,780,482",1.98
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"2,837,472",1.49
DB NOMINEES SINGAPORE PRIVATE LIMITED,"2,273,005",1.19
LIM & TAN SECURITIES PRIVATE LIMITED,"2,033,900",1.07
UOB KAY HIAN PRIVATE LIMITED,"1,775,100",0.93
OCBC SECURITIES PRIVATE LIMITED,"1,773,408",0.93
DBSN SERVICES PRIVATE LIMITED,"1,443,900",0.76
WONG CHI HUNG JOHN,"1,440,936",0.76
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"1,424,250",0.75
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"1,346,400",0.71
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"1,144,510",0.6
TAN PENG KIM,"940,000",0.49
