NAME,SHARES,PERCENTAGE
HOSPITALITY HOLDINGS PTE. LTD. ,"313,950,000",26.02
DBS NOMINEES PTE LTD ,"184,270,509",15.27
CITIBANK NOMINEES SINGAPORE PTE LTD ,"176,829,003",14.66
M&C REIT MANAGEMENT LIMITED ,"74,639,996",6.19
REPUBLIC HOTELS & RESORTS LIMITED ,"62,790,000",5.2
DBSN SERVICES PTE LTD ,"61,900,516",5.13
RAFFLES NOMINEES (PTE) LIMITED ,"61,261,213",5.08
HSBC (SINGAPORE) NOMINEES PTE LTD,"54,884,389",4.55
BPSS NOMINEES SINGAPORE (PTE.) LTD. ,"18,115,890",1.5
GUAN HONG PLANTATION PRIVATE LIMITED,"6,900,000",0.57
DB NOMINEES (SINGAPORE) PTE LTD,"6,672,256",0.55
MILLENNIUM SECURITIES PTE LTD ,"4,800,000",0.4
UNITED OVERSEAS BANK NOMINEES PTE LTD ,"4,750,129",0.39
DBS VICKERS SECURITIES (SINGAPORE) PTE LTD ,"3,436,980",0.29
SOON LI HENG CIVIL ENGINEERING PTE LTD ,"3,360,000",0.28
BNP PARIBAS NOMINEES SINGAPORE PTE LTD ,"3,325,329",0.28
MORGAN STANLEY ASIA (SINGAPORE) SECURITIES PTE LTD ,"2,712,537",0.23
MAYBANK KIM ENG SECURITIES PTE. LTD.,"2,549,724",0.21
MERRILL LYNCH (SINGAPORE) PTE LTD ,"2,318,955",0.19
MEREN PTE LTD ,"2,300,000",0.19
