NAME,SHARES,PERCENTAGE
RAFFLES NOMINEES PRIVATE LIMITED,"3,132,819,235",24.6
DBS NOMINEES PRIVATE LIMITED,"2,163,446,636",16.99
UOB KAY HIAN PRIVATE LIMITED,"1,358,248,591",10.67
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"1,236,785,541",9.71
MASSINGHAM INTERNATIONAL LIMITED,"1,077,047,817",8.46
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"997,598,424",7.83
DBSN SERVICES PRIVATE LIMITED,"484,600,852",3.8
GOLDEN MOMENT LIMITED,"475,000,000",3.73
FLAMBO INTERNATIONAL LIMITED,"260,000,000",2.04
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"36,004,190",0.28
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"32,003,235",0.25
OCBC SECURITIES PRIVATE LIMITED,"25,890,773",0.2
PHILLIP SECURITIES PRIVATE LIMITED,"25,314,033",0.2
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"23,635,877",0.19
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"16,483,956",0.13
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"16,195,073",0.13
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"15,587,283",0.12
SOCIETE GENERALE SINGAPORE BRANCH,"14,945,710",0.12
RHB SECURITIES SINGAPORE PRIVATE LIMITED,"13,666,065",0.11
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"13,628,415",0.11
