NAME,SHARES,PERCENTAGE
WEE INVESTMENTS PRIVATE LIMITED,"118,215,836",14.02
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"117,483,754",13.94
C Y WEE & COMPANY PRIVATE LIMITED,"115,162,017",13.66
DBS NOMINEES PRIVATE LIMITED,"102,460,153",12.15
TYE HUA NOMINEES PRIVATE LIMITED,"59,258,209",7.03
DBSN SERVICES PRIVATE LIMITED,"38,682,195",4.59
HAW PAR CAPITAL PRIVATE LIMITED,"38,649,505",4.58
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"29,690,501",3.52
HAW PAR INVESTMENT HOLDINGS PRIVATE LIMITED,"28,705,436",3.4
RAFFLES NOMINEES PRIVATE LIMITED,"16,283,095",1.93
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"7,432,110",0.88
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"4,168,640",0.49
WEE CHO YAW,"3,661,566",0.43
KAH MOTOR COMPANY SDN BHD,"3,477,010",0.41
HO HAN LEONG CALVIN,"2,765,000",0.33
DOMITIAN INVESTMENT PRIVATE LIMITED,"2,733,449",0.32
NGEE ANN DEVELOPMENT PRIVATE LIMITED,"2,154,334",0.26
PICKWICK SECURITIES PRIVATE LIMITED,"1,888,037",0.22
UOB KAY HIAN PRIVATE LIMITED,"1,772,862",0.21
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"1,765,896",0.21
