NAME,SHARES,PERCENTAGE
DBS NOMINEES PRIVATE LIMITED,"880,699,313",30.24
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"860,567,122",29.55
INTERBEV INVESTMENT LIMITED,"824,847,644",28.33
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"96,706,930",3.32
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"22,714,610",0.78
RAFFLES NOMINEES PRIVATE LIMITED,"13,095,182",0.45
UOB KAY HIAN PRIVATE LIMITED,"12,314,721",0.42
THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,"8,728,700",0.3
LIM EE SENG,"4,788,729",0.16
DBSN SERVICES PRIVATE LIMITED,"4,645,402",0.16
PHAY THONG HUAT PRIVATE LIMITED,"3,618,000",0.12
THE TITULAR ROMAN CATHOLIC ARCHBISHOP OF KUALA LUMPUR,"2,013,440",0.07
DB NOMINEES SINGAPORE PRIVATE LIMITED,"1,997,030",0.07
PHILLIP SECURITIES PRIVATE LIMITED,"1,959,196",0.07
CHOO MEILEEN,"1,812,130",0.06
OCBC SECURITIES PRIVATE LIMITED,"1,803,480",0.06
CHEE SWEE CHENG & COMPANY PRIVATE LIMITED,"1,693,220",0.06
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"1,595,920",0.05
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"1,313,205",0.05
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"1,281,720",0.04
