NAME,SHARES,PERCENTAGE
PPB GROUP BERHAD,"1,172,614,755",18.53
ARCHER DANIELS MIDLAND ASIA-PACIFIC LIMITED,"843,311,484",13.33
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"596,495,846",9.43
DBS NOMINEES PRIVATE LIMITED,"403,723,490",6.38
ADM AG HOLDING LIMITED,"374,961,795",5.93
GLOBAL COCOA HOLDINGS LIMITED,"356,399,775",5.63
RAFFLES NOMINEES PRIVATE LIMITED,"268,181,211",4.24
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"266,221,709",4.21
KUOK SINGAPORE LIMITED,"256,951,112",4.06
HARPOLE RESOURCES LIMITED,"256,211,778",4.05
DBSN SERVICES PRIVATE LIMITED,"247,938,123",3.92
NOBLESPIRIT CORPORATION,"242,600,000",3.83
DB NOMINEES SINGAPORE PRIVATE LIMITED,"123,367,650",1.95
UOB KAY HIAN PRIVATE LIMITED,"93,351,309",1.48
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"80,959,018",1.28
LONGHLIN ASIA LIMITED,"69,009,921",1.09
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"60,274,393",0.95
HONG LEE HOLDINGS PRIVATE LIMITED,"36,204,971",0.57
NATALON COMPANY LIMITED,"33,760,355",0.53
KEFKONG LIMITED,"32,400,000",0.51
