NAME,SHARES,PERCENTAGE
SHENG SIONG HOLDINGS PRIVATE LIMITED,"448,800,000",29.85
DBS NOMINEES PRIVATE LIMITED,"160,726,146",10.69
LIM HOCK CHEE,"137,400,000",9.14
LIM HOCK ENG,"137,400,000",9.14
LIM HOCK LENG,"137,400,000",9.14
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"122,503,742",8.15
DBSN SERVICES PRIVATE LIMITED,"31,113,076",2.07
RAFFLES NOMINEES PRIVATE LIMITED,"28,969,000",1.93
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"25,845,858",1.72
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"13,666,030",0.91
DB NOMINEES SINGAPORE PRIVATE LIMITED,"11,249,700",0.75
LIM KIM HOCK,"8,400,000",0.56
PHILLIP SECURITIES PRIVATE LIMITED,"7,913,499",0.53
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"5,980,200",0.4
LIN YUANFENG,"5,000,000",0.33
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"4,567,520",0.3
CHUA KOK SOON,"4,500,000",0.3
OCBC SECURITIES PRIVATE LIMITED,"3,099,500",0.21
MS VENTURE PRIVATE LIMITED,"3,000,000",0.2
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"2,647,200",0.18
