NAME,SHARES,PERCENTAGE
PARKWAY INVESTMENTS PRIVATE LIMITED,"213,257,000",35.25
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"112,880,816",18.66
DBS NOMINEES PRIVATE LIMITED,"93,624,615",15.48
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"45,780,458",7.57
DBSN SERVICES PRIVATE LIMITED,"20,598,191",3.4
RAFFLES NOMINEES PRIVATE LIMITED,"19,585,661",3.24
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"3,164,223",0.52
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"2,908,006",0.48
PARKWAY TRUST MANAGEMENT LIMITED,"2,279,386",0.38
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"2,051,880",0.34
DB NOMINEES SINGAPORE PRIVATE LIMITED,"1,745,814",0.29
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"1,650,262",0.27
LIM CHEOK PENG,"1,559,000",0.26
PHILLIP SECURITIES PRIVATE LIMITED,"1,556,762",0.26
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"1,341,876",0.22
UOB KAY HIAN PRIVATE LIMITED,"1,316,700",0.22
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"1,211,275",0.2
ABN AMRO CLEARING BANK NV,"1,071,900",0.18
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"982,604",0.16
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"873,600",0.14
