NAME,SHARES,PERCENTAGE
SEL HOLDINGS PRIVATE LIMITED,"249,991,184",23.36
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"212,021,503",19.81
DBS NOMINEES PRIVATE LIMITED,"126,597,464",11.83
DBSN SERVICES PRIVATE LIMITED,"71,337,046",6.67
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"61,779,207",5.77
RAFFLES NOMINEES PRIVATE LIMITED,"17,554,032",1.64
PHILLIP SECURITIES PRIVATE LIMITED,"14,113,307",1.32
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"9,712,616",0.91
DB NOMINEES SINGAPORE PRIVATE LIMITED,"8,474,652",0.79
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"8,054,355",0.75
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"3,915,211",0.37
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"3,635,989",0.34
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"3,517,958",0.33
OCBC SECURITIES PRIVATE LIMITED,"3,373,343",0.32
UOB KAY HIAN PRIVATE LIMITED,"3,082,400",0.29
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"2,785,900",0.26
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"2,216,347",0.21
BNP PARIBAS NOMINEES SINGAPORE PRIVATE LIMITED,"2,114,133",0.2
WAN FOOK WENG,"2,000,000",0.19
MERRILL LYNCH SINGAPORE PRIVATE LIMITED,"1,821,096",0.17
