NAME,SHARES,PERCENTAGE
OCBC SECURITIES PRIVATE LIMITED,"171,621,660",21.72
UOB KAY HIAN PRIVATE LIMITED,"86,410,981",10.93
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"73,692,228",9.32
DBS NOMINEES PRIVATE LIMITED,"65,414,841",8.28
BOWSPRIT CAPITAL CORPORATION LIMITED,"54,680,489",6.92
DB NOMINEES SINGAPORE PRIVATE LIMITED,"28,491,525",3.61
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"18,754,519",2.37
RAFFLES NOMINEES PRIVATE LIMITED,"17,019,986",2.15
DBSN SERVICES PRIVATE LIMITED,"14,872,606",1.88
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"10,029,351",1.27
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"6,694,739",0.85
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"6,502,228",0.82
PHILLIP SECURITIES PRIVATE LIMITED,"6,088,027",0.77
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"5,214,324",0.66
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"4,716,149",0.6
BMT AC ESTATE OF MSE ANGULLIA DECEASED WAKAFF CLAUSE 7 TRUST,"2,659,652",0.34
ABN AMRO CLEARING BANK NV,"2,506,472",0.32
TEH KIU CHEONG @TEONG CHENG @ CHENG CHIU CHANG,"2,317,683",0.29
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"2,228,528",0.28
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"2,187,831",0.28
