NAME,SHARES,PERCENTAGE
TSE CHONG HING,"75,990,411",17.71
DBS NOMINEES PRIVATE LIMITED,"51,852,012",12.09
CHOW KOK KIT,"32,000,361",7.46
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"29,286,310",6.83
RAFFLES NOMINEES PRIVATE LIMITED,"28,300,291",6.6
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"22,316,850",5.2
UOB KAY HIAN PRIVATE LIMITED,"14,390,140",3.35
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"8,655,378",2.02
HUNG KAI WING,"7,645,000",1.78
LEAP INTERNATIONAL PRIVATE LIMITED,"6,710,000",1.56
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"5,503,463",1.28
MORGAN STANLEY ASIA SINGAPORE SECURITIES PRIVATE LIMITED,"4,812,440",1.12
PHILLIP SECURITIES PRIVATE LIMITED,"4,762,840",1.11
HONG LEONG FINANCE NOMINEES PRIVATE LIMITED,"4,490,000",1.05
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"3,750,561",0.87
SEE LOP FU JAMES @ SHI LAP FU JAMES,"3,740,000",0.87
DB NOMINEES SINGAPORE PRIVATE LIMITED,"3,354,386",0.78
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"3,159,070",0.74
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"3,080,821",0.72
LIEW CHEE KONG,"3,008,400",0.7
