NAME,SHARES,PERCENTAGE
DBS NOMINEES PRIVATE LIMITED,"225,430,834",20.91
CITIBANK NOMINEES SINGAPORE PRIVATE LIMITED,"129,145,578",11.98
UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,"114,166,107",10.59
RAFFLES NOMINEES PRIVATE LIMITED,"47,051,465",4.37
HSBC SINGAPORE NOMINEES PRIVATE LIMITED,"34,292,540",3.18
DBSN SERVICES PRIVATE LIMITED,"32,415,105",3.01
NTUC FAIRPRICE CO-OPERATIVE LIMITED,"24,072,000",2.23
DBS VICKERS SECURITIES SINGAPORE PRIVATE LIMITED,"11,823,980",1.1
MAYBANK KIM ENG SECURITIES PRIVATE LIMITED,"9,891,363",0.92
KGI SECURITIES SINGAPORE PRIVATE LIMITED,"8,623,874",0.8
OCBC SECURITIES PRIVATE LIMITED,"8,232,510",0.76
UOB KAY HIAN PRIVATE LIMITED,"7,094,208",0.66
PHILLIP SECURITIES PRIVATE LIMITED,"7,029,007",0.65
OCBC NOMINEES SINGAPORE PRIVATE LIMITED,"6,982,073",0.65
CGS-CIMB SECURITIES SINGAPORE PRIVATE LIMITED,"6,014,912",0.56
KO WOON HONG,"5,059,000",0.47
BPSS NOMINEES SINGAPORE PRIVATE LIMITED,"5,026,556",0.47
DB NOMINEES SINGAPORE PRIVATE LIMITED,"5,006,200",0.46
ARA REAL ESTATE INVESTORS V LIMITED,"4,948,630",0.46
ABN AMRO CLEARING BANK NV,"4,226,917",0.39
