NO.,NAME,,,NO. OF SHARES,%
1,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"232,691,800",20.01
2,STARHUB LTD,,,"114,315,790",9.83
3,MELVIN ANG WEE CHYE,,,"101,725,400",8.75
4,NOMURA SINGAPORE LIMITED,,,"86,876,734",7.47
5,DBS NOMINEES PTE LTD,,,"79,672,500",6.85
6,MA HOLDINGS MANAGEMENT COMPANY LIMITED,,,"63,500,000",5.46
7,MAYBANK KIM ENG SECURITIES PTE LTD,,,"42,275,017",3.64
8,RAFFLES NOMINEES (PTE) LTD,,,"38,248,303",3.29
9,CHOO MEILEEN,,,"36,672,800",3.15
10,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"34,880,497",3.00
11,RHB SECURITIES SINGAPORE PTE LTD,,,"30,192,000",2.60
12,CGS-CIMB SECURITIES (S) PTE LTD,,,"27,114,996",2.33
13,APEX CAPITAL GROUP PTE LTD,,,"25,461,354",2.19
14,BNP PARIBAS NOMINEES SINGAPORE PTE LTD,,,"24,816,400",2.14
15,UOB KAY HIAN PTE LTD,,,"21,653,700",1.86
16,PHILLIP SECURITIES PTE LTD,,,"14,791,700",1.27
17,HL BANK NOMINEES (S) PTE LTD,,,"11,200,000",0.96
18,HENRY QUEK PENG HOCK,,,"7,300,000",0.63
19,MAXI-HARVEST GROUP PTE LTD,,,"6,276,200",0.54
20,HEAH TIEN HUAT,,,"6,200,000",0.53
,TOTAL:,,,"1,005,865,191",86.50
