NO.,NAME,,,NO. OF UNITS,%
1,CITIBANK NOMINEES SINGAPORE PTE LTD,,,"955,817,031",35.66
2,DBS NOMINEES (PRIVATE) LIMITED,,,"500,631,342",18.68
3,UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,,,"240,706,130",8.98
4,RAFFLES NOMINEES (PTE.) LIMITED,,,"164,823,319",6.15
5,DBSN SERVICES PTE. LTD.,,,"160,071,424",5.97
6,HSBC (SINGAPORE) NOMINEES PTE LTD,,,"149,195,161",5.57
7,DBS VICKERS SECURITIES (SINGAPORE) PTE LTD,,,"88,817,040",3.31
8,WTP INVESTMENT (OVERSEAS) LIMITED,,,"33,523,485",1.25
9,STRAITS REAL ESTATE PTE LTD,,,"26,312,000",0.98
10,WII PTE. LTD.,,,"16,656,900",0.62
11,BPSS NOMINEES SINGAPORE (PTE.) LTD.,,,"15,107,088",0.56
12,DB NOMINEES (SINGAPORE) PTE LTD,,,"14,959,028",0.56
13,PCK CORPORATION,,,"13,649,414",0.51
14,SWORD INVESTMENTS PRIVATE LTD,,,"11,914,000",0.44
15,TECITY MANAGEMENT PTE LTD,,,"6,684,000",0.25
16,BNP PARIBAS NOMINEES SINGAPORE PTE. LTD.,,,"5,249,443",0.20
17,OCBC NOMINEES SINGAPORE PRIVATE LIMITED,,,"4,820,200",0.18
18,NTUC FAIRPRICE CO-OPERATIVE LTD,,,"4,000,000",0.15
19,PHILLIP SECURITIES PTE LTD,,,"3,560,875",0.13
20,MERRILL LYNCH (SINGAPORE) PTE. LTD.,,,"3,474,775",0.13
TOTAL,,,,"2,419,972,655",90.28
